"Stadt","Twitter"
"Aachen","PresseamtAachen "
"Amberg",
"Ansbach",
"Aschaffenburg","StadtAB"
"Augsburg","stadtaugsburg"
"Baden-Baden","StadtBadenBaden"
"Bamberg","Bamberg_de"
"Bayreuth","bayreuth_de"
"Berlin","RegBerlin"
"Bielefeld","stadtbielefeld"
"Bochum","bochum_de"
"Bonn","BundesstadtBonn"
"Bottrop","bottrop"
"Brandenburg an der Havel","Stadt_BRB"
"Braunschweig","Stadt_BS"
"Bremen","bremen_de"
"Bremerhaven","bremerhaven_de"
"Chemnitz","Stadt_Chemnitz"
"Coburg","coburg"
"Cottbus","Stadt_Cottbus"
"Darmstadt","Stadt_Darmstadt"
"Delmenhorst","delmenhorst_de"
"Dessau-Roßlau","Dessau_Rosslau "
"Dortmund","stadtdortmund"
"Dresden","stadt_dresden"
"Duisburg","duisburg_de"
"Düsseldorf","Duesseldorf"
"Eisenach",
"Emden",
"Erfurt",
"Erlangen","erlangen_de"
"Essen","Essen_Ruhr"
"Flensburg","Stadt_Flensburg"
"Frankenthal ",
"Frankfurt ",
"Frankfurt am Main","Stadt_FFM"
"Freiburg im Breisgau","freiburg"
"Fürth","stadtfuerth"
"Gelsenkirchen","_Gelsenkirchen_"
"Gera",
"Göttingen","GoettingenStadt"
"Hagen","Hagen_Westfalen"
"Halle ","stadt_halle "
"Hamburg","Senat_Hamburg "
"Hamm","hamm_stadt"
"Hannover","hannover"
"Heidelberg","heidelberg_de"
"Heilbronn","heilbronn_de"
"Herne","Stadt_Herne"
"Hof","StadtHof1"
"Ingolstadt","Ingolstadt_IN"
"Jena","jenalichtstadt"
"Kaiserslautern","StadtKL"
"Karlsruhe","Stadt_Karlsruhe"
"Kassel","StadtKassel"
"Kaufbeuren",
"Kempten ",
"Kiel","stadt_kiel"
"Koblenz",
"Köln","Koeln"
"Krefeld","krefeld"
"Landau in der Pfalz",
"Landshut",
"Leipzig","StadtLeipzig"
"Leverkusen",
"Lübeck",
"Ludwigshafen am Rhein","ludwigshafen_de"
"Magdeburg",
"Mainz",
"Mannheim","mannheim_de"
"Memmingen","StadtMM"
"Mönchengladbach","StadtMG"
"Mülheim an der Ruhr","Muelheim_Ruhr"
"München","StadtMuenchen"
"Münster","muenster_de"
"Neumünster","neumuenster"
"Neustadt an der Weinstraße","Neustadt_Wstr"
"Nürnberg","nuernberg_de"
"Oberhausen","StadtOberhausen"
"Offenbach am Main","Stadt_OF"
"Oldenburg",
"Osnabrück","StadtOsnabrueck"
"Passau","Stadt_Passau"
"Pforzheim","stadt_pforzheim"
"Pirmasens",
"Potsdam",
"Regensburg","stadtregensburg"
"Remscheid",
"Rosenheim",
"Rostock",
"Salzgitter","stadtsalzgitter"
"Schwabach","stadt_schwabach"
"Schweinfurt",
"Schwerin",
"Solingen","Klingenstadt"
"Speyer","Speyer_Stadt"
"Straubing",
"Stuttgart","stuttgart_stadt"
"Suhl",
"Trier","Stadt_Trier"
"Ulm","ulm_donau"
"Weiden in der Oberpfalz",
"Weimar","stadtweimar"
"Wiesbaden","Stadt_Wiesbaden"
"Wilhelmshaven","StadtWHV"
"Wolfsburg","Stadt_Wolfsburg"
"Worms",
"Wuppertal",
"Würzburg",
"Zweibrücken",
